recording_id,species,window_idx,start_s,end_s,snr_db,kept
XC974269,ForestOwlet,16,24.0,27.0,4.18,True
XC974269,ForestOwlet,17,25.5,28.5,4.44,True
XC974269,ForestOwlet,18,27.0,30.0,7.83,True
XC974269,ForestOwlet,19,28.5,31.5,8.07,True
XC974269,ForestOwlet,20,30.0,33.0,5.15,True
XC974269,ForestOwlet,21,31.5,34.5,4.19,True
XC974269,ForestOwlet,22,33.0,36.0,3.69,True
XC974269,ForestOwlet,23,34.5,37.5,2.1,False
XC974269,ForestOwlet,24,36.0,39.0,2.08,False
XC974269,ForestOwlet,25,37.5,40.5,3.61,True
XC974269,ForestOwlet,26,39.0,42.0,3.74,True
XC974269,ForestOwlet,27,40.5,43.5,4.33,True
XC974269,ForestOwlet,28,42.0,45.0,5.83,True
XC974269,ForestOwlet,29,43.5,46.5,5.36,True
XC974269,ForestOwlet,30,45.0,48.0,7.7,True
XC974269,ForestOwlet,31,46.5,49.5,14.41,True
XC974269,ForestOwlet,32,48.0,51.0,7.68,True
XC974269,ForestOwlet,33,49.5,52.5,5.36,True
XC974269,ForestOwlet,34,51.0,54.0,6.2,True
XC974269,ForestOwlet,35,52.5,55.5,3.06,True
XC974269,ForestOwlet,36,54.0,57.0,2.94,False
XC974269,ForestOwlet,37,55.5,58.5,2.6,False
XC974269,ForestOwlet,38,57.0,60.0,3.67,True
XC974269,ForestOwlet,39,58.5,61.5,3.0,False
XC974269,ForestOwlet,40,60.0,63.0,0.83,False
XC974269,ForestOwlet,41,61.5,64.5,5.09,True
XC974269,ForestOwlet,42,63.0,66.0,9.73,True
XC974269,ForestOwlet,43,64.5,67.5,7.46,True
XC974269,ForestOwlet,44,66.0,69.0,7.8,True
XC974269,ForestOwlet,45,67.5,70.5,7.92,True
XC974269,ForestOwlet,46,69.0,72.0,5.36,True
XC974269,ForestOwlet,47,70.5,73.5,2.16,False
XC974269,ForestOwlet,48,72.0,75.0,1.75,False
XC974269,ForestOwlet,49,73.5,76.5,3.27,True
XC974269,ForestOwlet,50,75.0,78.0,4.46,True
XC974269,ForestOwlet,51,76.5,79.5,3.52,True
XC974269,ForestOwlet,52,78.0,81.0,2.61,False
XC974269,ForestOwlet,53,79.5,82.5,2.83,False
XC974269,ForestOwlet,54,81.0,84.0,6.83,True
XC974269,ForestOwlet,55,82.5,85.5,11.13,True
XC974269,ForestOwlet,56,84.0,87.0,8.09,True
XC974269,ForestOwlet,57,85.5,88.5,4.19,True
XC974269,ForestOwlet,58,87.0,90.0,4.43,True
XC974269,ForestOwlet,59,88.5,91.5,4.16,True
XC974269,ForestOwlet,60,90.0,93.0,3.26,True
XC974269,ForestOwlet,61,91.5,94.5,3.84,True
XC974269,ForestOwlet,62,93.0,96.0,4.93,True
XC148759,ForestOwlet,0,0.0,3.0,3.42,True
XC148759,ForestOwlet,1,1.5,4.5,4.23,True
XC148759,ForestOwlet,2,3.0,6.0,4.53,True
XC148759,ForestOwlet,3,4.5,7.5,3.84,True
XC148759,ForestOwlet,4,6.0,9.0,3.13,True
XC148759,ForestOwlet,5,7.5,10.5,2.27,False
XC148759,ForestOwlet,6,9.0,12.0,1.79,False
XC148759,ForestOwlet,7,10.5,13.5,1.79,False
XC148759,ForestOwlet,8,12.0,15.0,1.94,False
XC148759,ForestOwlet,9,13.5,16.5,2.23,False
XC148759,ForestOwlet,10,15.0,18.0,2.02,False
XC148759,ForestOwlet,11,16.5,19.5,1.87,False
XC148759,ForestOwlet,12,18.0,21.0,2.0,False
XC148759,ForestOwlet,13,19.5,22.5,2.44,False
XC148759,ForestOwlet,14,21.0,24.0,3.65,True
XC148759,ForestOwlet,15,22.5,25.5,3.99,True
XC148759,ForestOwlet,16,24.0,27.0,3.52,True
XC148759,ForestOwlet,17,25.5,28.5,3.52,True
XC148759,ForestOwlet,18,27.0,30.0,3.59,True
XC148759,ForestOwlet,19,28.5,31.5,2.61,False
XC148759,ForestOwlet,20,30.0,33.0,2.11,False
XC148759,ForestOwlet,21,31.5,34.5,1.78,False
XC148759,ForestOwlet,22,33.0,36.0,1.68,False
XC148759,ForestOwlet,23,34.5,37.5,2.18,False
XC148759,ForestOwlet,24,36.0,39.0,2.08,False
XC148759,ForestOwlet,25,37.5,40.5,1.46,False
XC148759,ForestOwlet,26,39.0,42.0,1.71,False
XC148759,ForestOwlet,27,40.5,43.5,2.53,False
XC148759,ForestOwlet,28,42.0,45.0,1.5,False
XC148759,ForestOwlet,29,43.5,46.5,1.4,False
XC148759,ForestOwlet,30,45.0,48.0,1.87,False
XC148759,ForestOwlet,31,46.5,49.5,1.53,False
XC148759,ForestOwlet,32,48.0,51.0,1.6,False
XC148759,ForestOwlet,33,49.5,52.5,1.6,False
XC148759,ForestOwlet,34,51.0,54.0,2.47,False
XC148759,ForestOwlet,35,52.5,55.5,2.88,False
XC148759,ForestOwlet,36,54.0,57.0,3.17,True
XC148759,ForestOwlet,37,55.5,58.5,3.73,True
XC148759,ForestOwlet,38,57.0,60.0,4.13,True
XC148759,ForestOwlet,39,58.5,61.5,4.3,True
XC148759,ForestOwlet,40,60.0,63.0,3.62,True
XC148759,ForestOwlet,41,61.5,64.5,2.81,False
XC314008,ForestOwlet,0,0.0,3.0,1.8,False
XC314008,ForestOwlet,1,1.5,4.5,2.09,False
XC314008,ForestOwlet,2,3.0,6.0,2.39,False
XC314008,ForestOwlet,3,4.5,7.5,3.25,True
XC314008,ForestOwlet,4,6.0,9.0,2.82,False
XC314008,ForestOwlet,5,7.5,10.5,2.33,False
XC314008,ForestOwlet,6,9.0,12.0,2.05,False
XC314008,ForestOwlet,7,10.5,13.5,2.6,False
XC314008,ForestOwlet,8,12.0,15.0,4.56,True
XC314008,ForestOwlet,9,13.5,16.5,6.6,True
XC314008,ForestOwlet,10,15.0,18.0,5.72,True
XC314008,ForestOwlet,11,16.5,19.5,4.9,True
XC314008,ForestOwlet,12,18.0,21.0,4.62,True
XC314008,ForestOwlet,13,19.5,22.5,4.55,True
XC314008,ForestOwlet,14,21.0,24.0,5.18,True
XC314008,ForestOwlet,15,22.5,25.5,4.84,True
XC314008,ForestOwlet,16,24.0,27.0,4.24,True
XC314008,ForestOwlet,17,25.5,28.5,3.62,True
XC314008,ForestOwlet,18,27.0,30.0,3.0,True
XC314008,ForestOwlet,19,28.5,31.5,3.06,True
XC314008,ForestOwlet,20,30.0,33.0,3.26,True
XC314008,ForestOwlet,21,31.5,34.5,3.7,True
XC314008,ForestOwlet,22,33.0,36.0,3.15,True
XC314008,ForestOwlet,23,34.5,37.5,2.55,False
XC314008,ForestOwlet,24,36.0,39.0,1.62,False
XC314008,ForestOwlet,25,37.5,40.5,1.28,False
XC314008,ForestOwlet,26,39.0,42.0,1.0,False
XC314008,ForestOwlet,27,40.5,43.5,0.75,False
XC314008,ForestOwlet,28,42.0,45.0,0.37,False
XC314008,ForestOwlet,29,43.5,46.5,-0.08,False
XC314008,ForestOwlet,30,45.0,48.0,-0.27,False
XC314008,ForestOwlet,31,46.5,49.5,-0.22,False
XC343773,ForestOwlet,0,0.0,3.0,2.75,False
XC343773,ForestOwlet,1,1.5,4.5,1.11,False
XC343773,ForestOwlet,2,3.0,6.0,0.5,False
XC343773,ForestOwlet,3,4.5,7.5,1.11,False
XC343773,ForestOwlet,4,6.0,9.0,1.47,False
XC343773,ForestOwlet,5,7.5,10.5,2.35,False
XC343773,ForestOwlet,6,9.0,12.0,1.44,False
XC343773,ForestOwlet,7,10.5,13.5,0.96,False
XC343773,ForestOwlet,8,12.0,15.0,1.7,False
XC343773,ForestOwlet,9,13.5,16.5,10.55,True
XC343773,ForestOwlet,10,15.0,18.0,11.46,True
XC343773,ForestOwlet,11,16.5,19.5,8.96,True
XC343773,ForestOwlet,12,18.0,21.0,6.77,True
XC343773,ForestOwlet,13,19.5,22.5,4.74,True
XC343773,ForestOwlet,14,21.0,24.0,2.96,False
XC343773,ForestOwlet,15,22.5,25.5,1.95,False
XC343773,ForestOwlet,16,24.0,27.0,1.72,False
XC343773,ForestOwlet,17,25.5,28.5,1.24,False
XC343773,ForestOwlet,18,27.0,30.0,1.47,False
XC343773,ForestOwlet,19,28.5,31.5,2.09,False
XC343773,ForestOwlet,20,30.0,33.0,1.94,False
XC343773,ForestOwlet,21,31.5,34.5,1.36,False
XC343773,ForestOwlet,22,33.0,36.0,11.09,True
XC758847,ForestOwlet,0,0.0,3.0,2.12,False
XC758847,ForestOwlet,1,1.5,4.5,2.57,False
XC758847,ForestOwlet,2,3.0,6.0,1.79,False
XC758847,ForestOwlet,3,4.5,7.5,2.17,False
XC758847,ForestOwlet,4,6.0,9.0,3.19,True
XC758847,ForestOwlet,5,7.5,10.5,3.39,True
XC758847,ForestOwlet,6,9.0,12.0,2.28,False
XC758847,ForestOwlet,7,10.5,13.5,1.94,False
XC758847,ForestOwlet,8,12.0,15.0,2.33,False
XC758847,ForestOwlet,9,13.5,16.5,2.51,False
XC758847,ForestOwlet,10,15.0,18.0,1.92,False
XC758847,ForestOwlet,11,16.5,19.5,2.18,False
XC778605,ForestOwlet,0,0.0,3.0,1.79,False
XC778605,ForestOwlet,1,1.5,4.5,3.82,True
XC213143,ForestOwlet,0,0.0,3.0,15.92,True
XC213143,ForestOwlet,1,1.5,4.5,16.35,True
XC213143,ForestOwlet,2,3.0,6.0,9.82,True
XC213143,ForestOwlet,3,4.5,7.5,13.09,True
XC213143,ForestOwlet,4,6.0,9.0,12.52,True
XC213143,ForestOwlet,5,7.5,10.5,11.68,True
XC213143,ForestOwlet,6,9.0,12.0,9.4,True
XC213143,ForestOwlet,7,10.5,13.5,4.6,True
XC213143,ForestOwlet,8,12.0,15.0,3.75,True
XC213143,ForestOwlet,9,13.5,16.5,6.36,True
XC213143,ForestOwlet,10,15.0,18.0,8.78,True
XC213143,ForestOwlet,11,16.5,19.5,15.76,True
XC213143,ForestOwlet,12,18.0,21.0,17.09,True
XC213143,ForestOwlet,13,19.5,22.5,3.44,True
XC213143,ForestOwlet,14,21.0,24.0,1.23,False
XC213143,ForestOwlet,15,22.5,25.5,1.13,False
XC213143,ForestOwlet,16,24.0,27.0,0.7,False
XC213143,ForestOwlet,17,25.5,28.5,4.48,True
XC213143,ForestOwlet,18,27.0,30.0,5.45,True
XC213143,ForestOwlet,19,28.5,31.5,0.7,False
XC213143,ForestOwlet,20,30.0,33.0,1.08,False
XC213143,ForestOwlet,21,31.5,34.5,11.38,True
XC213143,ForestOwlet,22,33.0,36.0,12.66,True
XC213143,ForestOwlet,23,34.5,37.5,6.86,True
XC213143,ForestOwlet,24,36.0,39.0,1.64,False
XC213143,ForestOwlet,25,37.5,40.5,0.39,False
XC213143,ForestOwlet,26,39.0,42.0,2.13,False
XC213143,ForestOwlet,27,40.5,43.5,4.26,True
XC213143,ForestOwlet,28,42.0,45.0,5.86,True
XC213143,ForestOwlet,29,43.5,46.5,5.76,True
XC213143,ForestOwlet,30,45.0,48.0,4.99,True
XC213143,ForestOwlet,31,46.5,49.5,5.02,True
XC213143,ForestOwlet,32,48.0,51.0,12.56,True
XC213143,ForestOwlet,33,49.5,52.5,13.85,True
XC213143,ForestOwlet,34,51.0,54.0,11.77,True
XC213143,ForestOwlet,35,52.5,55.5,13.73,True
XC213143,ForestOwlet,36,54.0,57.0,14.98,True
XC213143,ForestOwlet,37,55.5,58.5,15.4,True
XC213143,ForestOwlet,38,57.0,60.0,14.37,True
XC454346,ForestOwlet,0,0.0,3.0,0.14,False
XC454346,ForestOwlet,1,1.5,4.5,0.11,False
XC454346,ForestOwlet,2,3.0,6.0,3.93,True
XC454346,ForestOwlet,3,4.5,7.5,5.25,True
XC454346,ForestOwlet,4,6.0,9.0,6.18,True
XC454346,ForestOwlet,5,7.5,10.5,6.26,True
XC454346,ForestOwlet,6,9.0,12.0,5.93,True
XC454346,ForestOwlet,7,10.5,13.5,5.75,True
XC454346,ForestOwlet,8,12.0,15.0,5.74,True
XC454346,ForestOwlet,9,13.5,16.5,5.67,True
XC635072,ForestOwlet,0,0.0,3.0,9.2,True
XC635072,ForestOwlet,1,1.5,4.5,11.44,True
XC635072,ForestOwlet,2,3.0,6.0,10.24,True
XC635072,ForestOwlet,3,4.5,7.5,8.77,True
XC722042,ForestOwlet,0,0.0,3.0,1.42,False
XC722042,ForestOwlet,1,1.5,4.5,9.99,True
XC722042,ForestOwlet,2,3.0,6.0,18.64,True
XC722042,ForestOwlet,3,4.5,7.5,15.49,True
XC722042,ForestOwlet,4,6.0,9.0,8.64,True
XC722042,ForestOwlet,5,7.5,10.5,3.63,True
XC722042,ForestOwlet,6,9.0,12.0,4.44,True
XC722042,ForestOwlet,7,10.5,13.5,6.24,True
XC722042,ForestOwlet,8,12.0,15.0,3.98,True
XC722042,ForestOwlet,9,13.5,16.5,4.55,True
XC722042,ForestOwlet,10,15.0,18.0,4.9,True
XC722042,ForestOwlet,11,16.5,19.5,6.84,True
XC722042,ForestOwlet,12,18.0,21.0,14.97,True
XC722042,ForestOwlet,13,19.5,22.5,4.33,True
XC722042,ForestOwlet,14,21.0,24.0,1.49,False
XC722042,ForestOwlet,15,22.5,25.5,6.83,True
XC722042,ForestOwlet,16,24.0,27.0,7.96,True
XC722042,ForestOwlet,17,25.5,28.5,5.28,True
XC722042,ForestOwlet,18,27.0,30.0,3.7,True
XC722042,ForestOwlet,19,28.5,31.5,4.7,True
XC722042,ForestOwlet,20,30.0,33.0,4.16,True
XC722042,ForestOwlet,21,31.5,34.5,7.21,True
XC722042,ForestOwlet,22,33.0,36.0,24.99,True
XC722042,ForestOwlet,23,34.5,37.5,16.1,True
XC374895,ForestOwlet,0,0.0,3.0,0.84,False
XC374895,ForestOwlet,1,1.5,4.5,0.6,False
XC374895,ForestOwlet,2,3.0,6.0,0.62,False
XC374895,ForestOwlet,3,4.5,7.5,0.33,False
XC374895,ForestOwlet,4,6.0,9.0,-0.56,False
XC374895,ForestOwlet,5,7.5,10.5,0.2,False
XC374895,ForestOwlet,6,9.0,12.0,0.82,False
XC374895,ForestOwlet,7,10.5,13.5,1.28,False
XC374895,ForestOwlet,8,12.0,15.0,1.33,False
XC374895,ForestOwlet,9,13.5,16.5,1.82,False
XC374895,ForestOwlet,10,15.0,18.0,1.84,False
XC374895,ForestOwlet,11,16.5,19.5,1.08,False
XC374895,ForestOwlet,12,18.0,21.0,0.97,False
XC374895,ForestOwlet,13,19.5,22.5,1.41,False
XC374895,ForestOwlet,14,21.0,24.0,2.96,False
XC374895,ForestOwlet,15,22.5,25.5,3.0,True
XC374895,ForestOwlet,16,24.0,27.0,0.98,False
XC374895,ForestOwlet,17,25.5,28.5,1.36,False
XC374895,ForestOwlet,18,27.0,30.0,1.63,False
XC374895,ForestOwlet,19,28.5,31.5,1.81,False
ML139758521,ForestOwlet,0,0.0,3.0,8.35,True
ML139758521,ForestOwlet,1,1.5,4.5,10.93,True
ML139758521,ForestOwlet,2,3.0,6.0,12.63,True
ML139758521,ForestOwlet,3,4.5,7.5,10.8,True
ML141721661,ForestOwlet,0,0.0,3.0,1.54,False
ML141721661,ForestOwlet,1,1.5,4.5,1.95,False
