recording_id,species,source,quality_grade,duration_s,sample_rate,license,recordist,date,country,path,sha256
XC758847,ForestOwlet,XC,B,19.8,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/B/XC758847 - Forest Owlet - Athene blewitti.mp3,ac46c4d44ede05ed4b000baec5a78a134afe1b7a8c00d85ac0f90cde21117978
XC778605,ForestOwlet,XC,B,5.206,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/B/XC778605 - Forest Owlet - Athene blewitti.wav,28ff5b484d6872ac48971cb5146cf12811052dba0c482811c203e13bc4d3fb26
XC213143,ForestOwlet,XC,C,60.386,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/C/XC213143 - Forest Owlet - Athene blewitti.mp3,3c84db8b084e89b604321a7803cfdb6f911d228e2110b2f4a9c57c6b8c69eab0
XC454346,ForestOwlet,XC,C,16.848,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/C/XC454346 - Forest Owlet - Athene blewitti.mp3,9199dba980db8c61b7067ed8349b0e1514446f2856a5fa20f32a206f0fb6d436
XC635072,ForestOwlet,XC,C,8.15,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/C/XC635072 - Forest Owlet - Athene blewitti.mp3,470fd001d3d418aff0af9fff1725567b53f26a95f5e5c91118d014a51050c91c
XC722042,ForestOwlet,XC,C,37.851,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/C/XC722042 - Forest Owlet - Athene blewitti.mp3,cf8ad9a07cf2c9f6f96eb72acff1427c58b9755a3e79952ea58cd0dc87ab0236
XC374895,ForestOwlet,XC,D,32.342,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/Xeno Canto/D/XC374895 - Forest Owlet - Athene blewitti.mp3,691c09b76fe8984b9051b1a37bfe330f2a626fbb725a21d1ed72f34a7bc777fc
ML139758521,ForestOwlet,ML,,7.941,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/139758521.wav,a04de29440aacef6dd1881b9542d88d7336818b32930366089c5664c5180daf9
ML141721661,ForestOwlet,ML,,36.12,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/141721661.mp3,9a11f3896748a4cb8a9ca740d4cf4bbd27d61b7605fec36309b435fbb0287790
ML141721691,ForestOwlet,ML,,81.072,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/141721691.mp3,690ac625d68cc848bac9638ac731baa3d87fa9bac26f75cee0237eb830e5ad86
ML203909371,ForestOwlet,ML,,60.082,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/203909371.mp3,290648f0b75ec17b968332548f7554d522b25792b4d4a7f263c0464a38e7def2
ML22718711,ForestOwlet,ML,,36.65,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/22718711.mp3,fb1fdc62097677792c82a0570c96180e5ba7892f474cad8024b6330a8ce54fa1
ML28124631,ForestOwlet,ML,,4.519,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/28124631.mp3,0511f1584c05a04d778cc4befc5993843b82e2949bc06204955f4af9f1bcff6d
ML318845721,ForestOwlet,ML,,16.486,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/318845721.wav,65115c414b5db8e6eff7476f1d44fc0ee70e22c1d2c1bcb0f3376befd28c48b9
ML34297961,ForestOwlet,ML,,11.886,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/34297961.mp3,2e9cbebcf969b7ede6db983d049c7c0f9f73f02f384c54cb9a615b69d2dc869b
ML382260081,ForestOwlet,ML,,21.96,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/382260081.mp3,0ce82e88dadda997e2d5ecc717d2c00048ba7d1a01f032b780414ee54d62e11f
ML382263081,ForestOwlet,ML,,21.96,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/382263081.mp3,5d62ed80aba501c28913516bb19f39ab7b935f793fa0245c334a4cc9d204acab
ML392199771,ForestOwlet,ML,,62.616,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/392199771.mp3,27740563e8a4d3aa6a127a28c85927384a95af8b53b240b96a886300799cd1a8
ML418760961,ForestOwlet,ML,,42.379,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/418760961.wav,7b94a7617922693acee0a0b372bbaaa4408ed6aa49a4051b5c3325201337ff41
ML418890721,ForestOwlet,ML,,8.491,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/418890721.m4a,df930370a256e6cf9e22be802ab58ad31c4d20b9e5127bbe3ab1af22253554a8
ML421056201,ForestOwlet,ML,,9.3,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/421056201.wav,9b02446f98840570da58727e8660059d35e99c3005856e6f7b7929232627dca0
ML421056211,ForestOwlet,ML,,18.849,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/421056211.wav,0a708fdebd2a59d4073fe7d2fbc4f0c9ecd5b0336c63f6f679c090933ee97560
ML421056241,ForestOwlet,ML,,5.179,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/421056241.wav,6cbe652c952d53cd171977ed7998c5bce9c0e84aedf66a15687a298bd599d22c
ML437327781,ForestOwlet,ML,,37.293,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/437327781.wav,b3363d96b1c446b70cd9d6f5b721e9a05b89934423b7b1c6afd997e3b224961c
ML444347781,ForestOwlet,ML,,37.802,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/444347781.wav,cb2c6fe339acb33a98718110403e302227123266aaafd75b8083dc2e7723d528
ML486215441,ForestOwlet,ML,,3.997,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/486215441.mp3,fabcfa3a3b080243bf88d4d498f925867a10c3eb2c8ea3ec3ee2383d2c38b8ca
ML491949651,ForestOwlet,ML,,32.298,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/491949651.m4a,3391f33332db1510a5ed925d562a1fbf713564d489c01ae518706703fd0afb6d
ML496177181,ForestOwlet,ML,,19.754,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/496177181.m4a,06f5cbc3bc635c4d163e99ee24cf121031049198cdf7e5717c90d91460e50f4d
ML499619221,ForestOwlet,ML,,7.083,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/499619221.m4a,ef1a2643d91732caed1e66b71fa7d7d4f9cd7c93f89b185f7dc2887f583effd5
ML499619231,ForestOwlet,ML,,3.541,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/499619231.m4a,69e1d84979153427388f1889ee177172887d475faf2092269ea5c27c38071be1
ML499619241,ForestOwlet,ML,,6.315,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/499619241.m4a,e971e93e7936743a1e359e3212f9184688d46b2fa4442bbb67627d96257c512d
ML506141231,ForestOwlet,ML,,12.662,96000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/506141231.wav,8558a676fab03166fdf466e560a89c8462a50cb4b467a45bb9c4eb3b74f32213
ML506141241,ForestOwlet,ML,,24.027,96000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/506141241.wav,5533ba53e27bb03694c4ab400acb1c851e2b964e791159f1f8f64f15431b0788
ML525407041,ForestOwlet,ML,,12.631,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/525407041.m4a,aac91472b733517931e22c66e9f497beec23213869cc173e5e0d62654d389bbe
ML527671821,ForestOwlet,ML,,14.701,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/527671821.wav,560a22610f666f07659227d5cc383c00edb82e3bbddaa154198ddd04b7a47fb7
ML529760131,ForestOwlet,ML,,44.536,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/529760131.m4a,a307a1aedff4ff423659ccd7aaccecd4aea625d28f33bae17b9c331a872d636c
ML544521921,ForestOwlet,ML,,3.213,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/544521921.mp3,60acf1ac69c033b5fab2ea09d2d3ec5f9e07d0412cff7de1fd1bbcde1c7847c9
ML544521931,ForestOwlet,ML,,156.003,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/544521931.mp3,d5fceb5381374bf44d7b9834b487a8c2f456bc6534471c7941895a7b9bbdd97c
ML544521941,ForestOwlet,ML,,119.98,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/544521941.mp3,dde3cfe78f84459ef88cbdbd7a44d62a7c4f70477d9067d2b2415b20cdb61e4c
ML556898951,ForestOwlet,ML,,12.0,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/556898951.wav,94a615bdf70af0faefc96b59730426cfddec04302d0ac24259c68388bfa7e572
ML564976721,ForestOwlet,ML,,26.548,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/564976721.wav,246026234d628bd6ff356004d083ef19a60aec926143d116303f1fd8e84705e0
ML587540771,ForestOwlet,ML,,44.095,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/587540771.m4a,e2d5b1df1c4b2db180df611078c9ec5866adc6167dbd8e40a26096108432e55e
ML609059730,ForestOwlet,ML,,653.236,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/609059730.wav,6ed75d46e1ba264bae112b3488af5248773851a9a1f41754678eca6b7a9d016b
ML609603557,ForestOwlet,ML,,43.911,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/609603557.wav,9b26c8f015d0301101f82884a1d5727e32d250322291551561d37195f229b557
ML609604454,ForestOwlet,ML,,12.336,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/609604454.wav,214ef0aa55ea9aeca28820230017feec03bf0c1c7664d4ba79849b22a95cbd47
ML613931527,ForestOwlet,ML,,71.061,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/613931527.m4a,e316a6fca280376b715ed38f2d4640dab8e2f5505bbf8d52fe7110654417374f
ML614545354,ForestOwlet,ML,,54.936,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/614545354.m4a,a16f007ac53114b5705dec1bf090001fb53734272881b9283421f10833e88de2
ML616332700,ForestOwlet,ML,,7.979,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/616332700.m4a,0ab1880c487cf41a396626e4b539f490fb62417bd9aad807a9b8c0cee2cc41fa
ML621329694,ForestOwlet,ML,,31.06,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/621329694.mp3,e18b1d5946793dd6762c1336fd4b044e4c3afe14b961d5262a2aa8021ad4c466
ML624533493,ForestOwlet,ML,,5.555,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/624533493.mp3,491ea20cab0d2e0fe803117720edbe8fb1afd0c37239b00230a870cfca887279
ML628301727,ForestOwlet,ML,,40.779,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/628301727.wav,5e0af60960449dab438db9824559792e49bd9d79f325a136568ccc42c7b42424
ML628340386,ForestOwlet,ML,,9.319,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/628340386.wav,ab497a457c814751a4e8ba029f646918c626621a0c11670df520cb1bcd2c8e1b
ML85341811,ForestOwlet,ML,,29.652,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/ForestOwlet-Atheneblewitti/macauley/85341811.m4a,3a207d784e7350b580762d67e0cc735afe879869e9e35f11cf825e960aec428f
XC826431,BanasuraLaughingthrush,XC,A,49.8,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/Xeno Canto/A/XC826431 - Banasura Laughingthrush - Montecincla jerdoni.mp3,36239af7fd6a9c4441ab547061c197ee1016418109774a8707431f753a1bc2b6
XC826432,BanasuraLaughingthrush,XC,A,8.328,48000,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/Xeno Canto/A/XC826432 - Banasura Laughingthrush - Montecincla jerdoni.mp3,d85f770c289130077a3f513bed128bad5057aebd2f526666af95098c6b14859a
XC545768,BanasuraLaughingthrush,XC,B,2.299,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/Xeno Canto/B/XC545768 - Banasura Laughingthrush - Montecincla jerdoni.mp3,e6aaccbcd254070120edc489fb9dfcde3355ece5f1a9253eca299008efd92b2f
ML135364551,BanasuraLaughingthrush,ML,,27.742,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/135364551.mp3,af99cabaed1f60af023a7ffedebe1417e2681ed69d4dabaedf8026aa6abf8003
ML135364561,BanasuraLaughingthrush,ML,,52.062,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/135364561.mp3,8529de6867ead021eedb0a9ec6431ff6988c185628e488b7f5c51bc130d26b88
ML223541561,BanasuraLaughingthrush,ML,,2.249,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/223541561.wav,ff05f63b18f4206a38e9a85ee370ec9252c92b8e41611f4b4902fd9256e4d15f
ML224082991,BanasuraLaughingthrush,ML,,22.061,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224082991.wav,bbde790a552d4b250671ffc6785efbe621d5cdc1e5402644a26c69918ac060d0
ML224083701,BanasuraLaughingthrush,ML,,63.413,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224083701.wav,6cac993d2ee8647345fd5889d4782c85c41984e4061792773dc64d03fc894a9b
ML224086061,BanasuraLaughingthrush,ML,,22.558,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224086061.wav,e754f5d37f6cb041fc0afa5a3b99ea37e756e53ad8401a7608c28e10e3737e8a
ML224086601,BanasuraLaughingthrush,ML,,44.161,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224086601.wav,a6af61793b4b9f4c73021068bda745e815577971a38e1df59f782de744c961a6
ML224086811,BanasuraLaughingthrush,ML,,33.529,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224086811.wav,6cf78f3cecb65ae0ad73a2b86413cf9fa48497c2b42341bf6385a0bbed10275e
ML224087701,BanasuraLaughingthrush,ML,,44.422,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224087701.wav,fd11b05bb5f8cf9c0deb31b667c73a488e0f6ea4772a6c51efc4db1a43ee6a90
ML224088871,BanasuraLaughingthrush,ML,,11.693,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224088871.wav,715745fd1fc6d3e0c6c12b52200fc89fa0b853d000d49fe75ca052440db1256d
ML224090711,BanasuraLaughingthrush,ML,,69.369,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224090711.wav,f8c2c0fc9ccf60204cd5e01edecfb7db2e45c0a75689302f6bfa92df126f1a10
ML224102231,BanasuraLaughingthrush,ML,,100.439,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224102231.wav,184ad74e24edb3e9cf90becd266d9c3e5ccc74577be3204a4779d5b65cc8c364
ML224105961,BanasuraLaughingthrush,ML,,91.497,44100,,,,,/Users/srivatsavkannan/Datasets/Bird Classification/Bird Sound/Dataset_Curated/BanasuraLaughingthrush-Montecinclajerdoni/macauley/224105961.wav,ada0f3121de8365ae04e4b9eda20923f53b45afa227019e921f58da5387667a2
